1874	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata					4565956	4	0	0	1213	399	36	1	LC											
1887	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata	51.713143	-4.679273			4565956	4	0	0	1213	399	36	1	LC											
1889	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata	53.810681	-2.381142			4565956	4	0	0	1213	399	36	1	LC											
1890	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata	51.672231	-4.698553			4565956	4	0	0	1213	399	36	1	LC											
1906	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata					4565956	4	0	0	1213	399	36	1	LC											
1909	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata	51.742616	-1.494488			4565956	4	0	0	1213	399	36	1	LC											
1911	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata	51.713143	-4.679273			4565956	4	0	0	1213	399	36	1	LC											
1914	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata					4565956	4	0	0	1213	399	36	1	LC											
1918	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata					4565956	4	0	0	1213	399	36	1	LC											
1920	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata	53.347074	-3.879199			4565956	4	0	0	1213	399	36	1	LC											
1952	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata					4565956	4	0	0	1213	399	36	1	LC											
1954	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata					4565956	4	0	0	1213	399	36	1	LC											
1974	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata	48.366	-3.748			4565956	4	0	0	1213	399	36	1	LC	25.4	-2.0	10.367397260273973	2.9364383561643836							
1984	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata					4565956	4	0	0	1213	399	36	1	LC											
1985	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata	48.60343	-4.49096	5.0		4565956	4	0	0	1213	399	36	1	LC	22.5	-4.7	11.25095890410959	2.172054794520548							
1993	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata					4565956	4	0	0	1213	399	36	1	LC											
1995	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata	54.875663	-2.831389			4565956	4	0	0	1213	399	36	1	LC	27.6	-12.9	8.976164383561644	2.1616438356164385							
1998	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata					4565956	4	0	0	1213	399	36	1	LC											
2015	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata	51.248665	-0.321065			4565956	4	0	0	1213	399	36	1	LC	30.6	-3.9	11.011780821917808	1.813972602739726							
2021	Gastropoda	Stylommatophora	Hygromiidae	Ashfordia	Ashfordia granulata	48.686394	-4.182925			4565956	4	0	0	1213	399	36	1	LC	24.9	-0.4	12.196164383561644	2.1616438356164385							
