1945	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	20.92918	-75.734704			2291020	25	0	0	1213	399	15	2	LC	31.5	19.6	25.694246575342465	2.3495890410958906							
1949	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
1953	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
1958	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
1962	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	31.3095	-103.789167			2291020	25	0	0	1213	399	15	2	LC	39.8	-14.4	19.71780821917808	0.33835616438356164							
1966	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
1967	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
1968	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
1971	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
1973	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	25.7542	-100.245			2291020	25	0	0	1213	399	15	2	LC	40.4	-0.3	19.873150684931506	2.6854794520547944							
1974	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
1975	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	26.293833	-98.693667			2291020	25	0	0	1213	399	15	2	LC	40.0	-0.2	23.884931506849316	1.5							
1977	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	28.07168	-80.65339			2291020	25	0	0	1213	399	15	2	LC	33.4	-1.1	22.243561643835616	2.353972602739726							
1978	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	24.8761	-99.5778			2291020	25	0	0	1213	399	15	2	LC	39.0	1.9	21.396986301369864	2.316986301369863							
1979	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
1980	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
1982	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	30.206787	-90.30389			2291020	25	0	0	1213	399	15	2	LC	33.6	-7.6	20.811232876712328	3.4712328767123286							
1983	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
1987	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
1988	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	30.76028	-97.01417			2291020	25	0	0	1213	399	15	2	LC	39.7	-4.5	20.351912568306012	2.214207650273224							
1989	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
1990	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	27.6917	-82.4927			2291020	25	0	0	1213	399	15	2	LC	34.5	6.3	23.59917808219178	1.906027397260274							
1992	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
1995	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	26.505	-81.5128			2291020	25	0	0	1213	399	15	2	LC	36.8	1.7	22.84849315068493	3.6035616438356164							
1996	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	29.542456	-95.266047			2291020	25	0	0	1213	399	15	2	LC	35.7	-5.2	20.596448087431693	2.4816939890710383							
1997	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	29.819129	-101.802146	457.0		2291020	25	0	0	1213	399	15	2	LC	39.5	-4.1	20.62931506849315	1.3506849315068492							
2000	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
2001	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	32.8078	-79.9901			2291020	25	0	0	1213	399	15	2	LC	32.2	-3.9	18.93260273972603	2.2534246575342465							
2002	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
2012	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis					2291020	25	0	0	1213	399	15	2	LC											
2014	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	33.4203	-112.063			2291020	25	0	0	1213	399	15	2	LC	45.0	-1.5	23.86191780821918	0.7219178082191781							
2015	Gastropoda		Planorbidae	Biomphalaria	Biomphalaria havanensis	26.1258	-80.3789	1.0		2291020	25	0	0	1213	399	15	2	LC	35.3	4.4	25.11123287671233	3.245205479452055							
