1903	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica					8485654	8	0	0	1213	399	50	1	LC											
1918	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica	46.3341	14.3585			8485654	8	0	0	1213	399	50	1	LC											
1930	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica	46.6126	14.9857			8485654	8	0	0	1213	399	50	1	LC											
1931	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica	46.6664	12.9933			8485654	8	0	0	1213	399	50	1	LC											
1932	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica	46.6744	12.999			8485654	8	0	0	1213	399	50	1	LC											
1934	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica	44.8648	15.5816			8485654	8	0	0	1213	399	50	1	LC											
1939	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica					8485654	8	0	0	1213	399	50	1	LC											
1943	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica					8485654	8	0	0	1213	399	50	1	LC											
1948	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica	46.81	13.49			4563040	8	0	0	1213	399	50	1	LC	25.1	-21.7	8.104371584699454	5.696174863387978							
1963	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica					8485654	8	0	0	1213	399	50	1	LC											
1967	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica					8485654	8	0	0	1213	399	50	1	LC											
1971	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica	46.73	13.13			8485654	8	0	0	1213	399	50	1	LC	27.2	-21.0	8.034246575342467	5.233150684931507							
1978	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica	46.48	14.26			4563040	8	0	0	1213	399	50	1	LC	23.7	-18.0	5.910684931506849	4.218356164383562							
1979	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica	46.57	13.81			4563040	8	0	0	1213	399	50	1	LC	26.6	-22.3	7.993424657534247	5.710958904109589							
1980	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica	46.45	14.18			4563040	8	0	0	1213	399	50	1	LC	20.4	-28.8	-0.669672131147541	3.123497267759563							
1981	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica	46.53	13.73			4563040	8	0	0	1213	399	50	1	LC	26.7	-20.7	5.331506849315068	3.776986301369863							
1989	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica	44.8539	15.5829			8485654	8	0	0	1213	399	50	1	LC	27.0	-9.8	8.53972602739726	3.5495890410958904							
1996	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica					8485654	8	0	0	1213	399	50	1	LC											
2000	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica					8485654	8	0	0	1213	399	50	1	LC											
2001	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica					8485654	8	0	0	1213	399	50	1	LC											
2002	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica	46.46	13.29	1100.0		8485654	8	0	0	1213	399	50	1	LC	28.4	-11.9	10.226027397260275	5.491232876712329							
2007	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica	46.63	14.24			4563040	8	0	0	1213	399	50	1	LC	32.7	-13.8	10.143287671232876	3.0506849315068494							
2008	Gastropoda	Stylommatophora	Helicidae	Campylaea	Campylaea illyrica					8485654	8	0	0	1213	399	50	1	LC											
