1900	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis					6511123	1	0	0	1213	460	448	393	LC											
1951	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis					9480974	1	0	0	1213	460	448	393	LC											
1953	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis					9480974	1	0	0	1213	460	448	393	LC											
1956	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis					9480974	1	0	0	1213	460	448	393	LC											
1959	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis					9480974	1	0	0	1213	460	448	393	LC											
1966	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis					9480974	1	0	0	1213	460	448	393	LC											
1968	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis					9480974	1	0	0	1213	460	448	393	LC											
1971	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis					9480974	1	0	0	1213	460	448	393	LC											
1975	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis					9480974	1	0	0	1213	460	448	393	LC											
1977	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis	-13.58878	-38.903248			9480974	1	0	0	1213	460	448	393	LC	33.0	16.8	24.313698630136987	4.320821917808219							
1981	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis	-33.92	18.42			9480974	1	0	0	1213	460	448	393	LC	34.2	2.9	16.44821917808219	1.2668493150684932							
1983	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis				30.0	9480974	1	0	0	1213	460	448	393	LC											
1984	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis					9480974	1	0	0	1213	460	448	393	LC											
1985	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis	-34.81	20.02			9480974	1	0	0	1213	460	448	393	LC	32.1	5.7	16.89068493150685	1.1227397260273972							
1986	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis	-34.0918	22.9788			9480974	1	0	0	1213	460	448	393	LC	32.7	6.4	17.495616438356166	1.5994520547945206							
1991	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis	25.410674	-77.860286			9480974	1	0	0	1213	460	448	393	LC	29.3	14.1	25.044383561643837	2.674794520547945							
1994	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis	-34.83148	20.01354			9480974	1	0	0	1213	460	448	393	LC	31.4	6.1	17.087123287671233	0.8863013698630137							
1996	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis	25.22875	-81.7512		14.2	9480974	1	0	0	1213	460	448	393	LC	29.8	7.2	23.797540983606556	2.3975409836065573							
1997	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis	-34.3	18.46			9480974	1	0	0	1213	460	448	393	LC	22.7	6.1	15.095616438356165	1.6183561643835616							
1999	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis	25.41885	-80.23524		2.7	9480974	1	0	0	1213	460	448	393	LC	34.1	5.0	24.06931506849315	3.0501369863013696							
2000	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis	24.97013	-80.79373		2.1	9480974	1	0	0	1213	460	448	393	LC	31.1	7.7	24.16967213114754	1.7355191256830602							
2003	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis					9480974	1	0	0	1213	460	448	393	LC											
2004	Gastropoda	Neogastropoda	Conidae	Conus	Conus algoensis					9480974	1	0	0	1213	460	448	393	LC											
