1969	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei					6125376	3	0	0	1213	460	448	393	LC											
1973	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei	23.52	119.62			6125376	3	0	0	1213	460	448	393	LC	28.7	12.4	23.01972602739726	4.024657534246575							
1975	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei					6125376	3	0	0	1213	460	448	393	LC											
1976	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei					6125376	3	0	0	1213	460	448	393	LC											
1978	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei	10.6919	124.408			6125376	3	0	0	1213	460	448	393	LC	32.3	20.7	27.223013698630137	6.662465753424658							
1983	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei				219.0	6125376	3	0	0	1213	460	448	393	LC											
1986	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei					6125376	3	0	0	1213	460	448	393	LC											
1987	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei					6125376	3	0	0	1213	460	448	393	LC											
1994	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei					6125376	3	0	0	1213	460	448	393	LC											
1997	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei	5.41	125.35		150.0	6125376	3	0	0	1213	460	448	393	LC	31.4	23.0	27.054520547945206	4.189863013698631							
1998	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei				175.0	6125376	3	0	0	1213	460	448	393	LC											
1999	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei					6125376	3	0	0	1213	460	448	393	LC											
2001	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei	-9.776667	160.883331		243.0	6125376	3	0	0	1213	460	448	393	LC	29.7	24.7	26.984109589041097	9.993698630136986							
2007	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei	-9.676333	161.492661		164.5	6125376	3	0	0	1213	460	448	393	LC	29.8	23.8	26.967945205479452	10.80109589041096							
2008	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei				20.0	6125376	3	0	0	1213	460	448	393	LC											
2010	Gastropoda	Neogastropoda	Conidae	Conus	Conus hirasei	-5.56	151.529999		257.0	6125376	3	0	0	1213	460	448	393	LC	31.7	24.0	27.096712328767122	10.108493150684932							
