1975	Gastropoda	Neogastropoda	Conidae	Conus	Conus limpusi	-19.25	146.8167			5795824	1	0	0	1213	460	448	393	LC	33.9	8.7	23.752054794520546	2.4208219178082193							
1980	Gastropoda	Neogastropoda	Conidae	Conus	Conus limpusi	-23.15833	151.983			5795824	1	0	0	1213	460	448	393	LC	28.1	14.4	23.06311475409836	3.251639344262295							
1984	Gastropoda	Neogastropoda	Conidae	Conus	Conus limpusi	-22.38708	152.7893			5795824	1	0	0	1213	460	448	393	LC	27.4	14.6	23.03934426229508	1.81775956284153							
1988	Gastropoda	Neogastropoda	Conidae	Conus	Conus limpusi	-23.0	152.33333			5795824	1	0	0	1213	460	448	393	LC	27.3	14.6	23.209562841530055	3.0795081967213114							
1992	Gastropoda	Neogastropoda	Conidae	Conus	Conus limpusi	-21.6667	152.25		180.0	5795824	1	0	0	1213	460	448	393	LC	28.5	15.5	23.6051912568306	1.7163934426229508							
1993	Gastropoda	Neogastropoda	Conidae	Conus	Conus limpusi	-22.576333	153.3075			5795824	1	0	0	1213	460	448	393	LC	27.1	17.0	23.243561643835616	1.3893150684931508							
1994	Gastropoda	Neogastropoda	Conidae	Conus	Conus limpusi	-23.19	151.904		130.0	5795824	1	0	0	1213	460	448	393	LC	27.7	14.6	22.396986301369864	2.323013698630137							
1998	Gastropoda	Neogastropoda	Conidae	Conus	Conus limpusi	-22.083333	152.5			5795824	1	0	0	1213	460	448	393	LC	28.5	16.1	24.423835616438357	3.0186301369863013							
2000	Gastropoda	Neogastropoda	Conidae	Conus	Conus limpusi	-22.55	153.433			5795824	1	0	0	1213	460	448	393	LC	27.0	16.1	23.119398907103825	1.478415300546448							
2005	Gastropoda	Neogastropoda	Conidae	Conus	Conus limpusi	-15.11325	166.952881		124.0	5795824	1	0	0	1213	460	448	393	LC	31.4	18.9	25.278082191780822	8.755890410958903							
2007	Gastropoda	Neogastropoda	Conidae	Conus	Conus limpusi	-22.666667	152.166667			5795824	1	0	0	1213	460	448	393	LC	27.9	15.0	23.14	2.2983561643835615							
