1971	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis					7682703	22	0	0	1213	460	448	393	LC											
1975	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis	-1.54783	29.251941			7682703	22	0	0	1213	460	448	393	LC	19.5	4.9	12.246575342465754	12.512602739726027							
1976	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis	-4.183222	152.20309		24.0	7682703	22	0	0	1213	460	448	393	LC	43.3	22.1	25.437978142076503	10.482786885245902							
1977	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis					7682703	22	0	0	1213	460	448	393	LC											
1978	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis					7682703	22	0	0	1213	460	448	393	LC											
1979	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis					7682703	22	0	0	1213	460	448	393	LC											
1980	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis	-22.25	166.47			7682703	22	0	0	1213	460	448	393	LC	31.2	14.6	22.27896174863388	4.106010928961749							
1981	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis	5.41	125.35		225.0	7682703	22	0	0	1213	460	448	393	LC	31.8	23.9	27.188767123287672	5.608767123287671							
1982	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis	10.3	123.97			7682703	22	0	0	1213	460	448	393	LC	30.9	23.1	26.665205479452055	3.987123287671233							
1985	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis				27.4	7682703	22	0	0	1213	460	448	393	LC											
1986	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis					7682703	22	0	0	1213	460	448	393	LC											
1987	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis					7682703	22	0	0	1213	460	448	393	LC											
1988	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis					7682703	22	0	0	1213	460	448	393	LC											
1990	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis				40.0	7682703	22	0	0	1213	460	448	393	LC											
1992	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis				59.5	7682703	22	0	0	1213	460	448	393	LC											
1993	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis					7682703	22	0	0	1213	460	448	393	LC											
1994	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis					7682703	22	0	0	1213	460	448	393	LC											
1997	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis	-9.833266	160.859544		35.0	7682703	22	0	0	1213	460	448	393	LC	31.9	21.8	26.044657534246575	9.238082191780823							
2000	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis	5.41	125.35			7682703	22	0	0	1213	460	448	393	LC	31.7	24.2	27.136612021857925	8.448360655737705							
2007	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis					7682703	22	0	0	1213	460	448	393	LC											
2014	Gastropoda	Neogastropoda	Conidae	Conus	Conus moluccensis	-2.753933	150.722672		29.0	7682703	22	0	0	1213	460	448	393	LC	29.8	23.8	27.047123287671234	12.308767123287671							
