1905	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus					6510400	4	0	0	1213	460	448	393	LC											
1909	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus	10.4583	125.321		135.0	6510400	4	0	0	1213	460	448	393	LC											
1979	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus	10.32324	124.03496			6510400	4	0	0	1213	460	448	393	LC	31.5	23.7	26.829315068493152	4.027123287671233							
1980	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus	-5.8333	153.0			6510400	4	0	0	1213	460	448	393	LC	30.0	24.7	26.868852459016395	13.168306010928962							
1981	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus				190.0	6510400	4	0	0	1213	460	448	393	LC											
1982	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus				35.0	6510400	4	0	0	1213	460	448	393	LC											
1983	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus	10.3	123.97			6510400	4	0	0	1213	460	448	393	LC	31.9	24.0	26.997808219178083	5.332602739726028							
1984	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus				201.0	6510400	4	0	0	1213	460	448	393	LC											
1985	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus	12.145	121.306664		78.5	6510400	4	0	0	1213	460	448	393	LC	31.7	22.4	27.012054794520548	8.917534246575343							
1987	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus	10.21	123.76			6510400	4	0	0	1213	460	448	393	LC	36.0	22.5	28.603013698630136	4.009041095890411							
1992	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus	-13.2	-176.259995		485.0	6510400	4	0	0	1213	460	448	393	LC	29.1	24.8	26.925956284153006	6.723497267759563							
1993	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus					6510400	4	0	0	1213	460	448	393	LC											
1994	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus					6510400	4	0	0	1213	460	448	393	LC											
1997	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus	10.33	124.04			6510400	4	0	0	1213	460	448	393	LC	31.7	22.6	26.792876712328766	4.208493150684932							
2001	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus	-8.82	159.869995		183.5	6510400	4	0	0	1213	460	448	393	LC	29.8	24.9	27.14767123287671	8.889041095890411							
2004	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus					6510400	4	0	0	1213	460	448	393	LC											
2005	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus	8.74	123.22		90.0	6510400	4	0	0	1213	460	448	393	LC	33.6	22.8	27.86	7.2994520547945205							
2009	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus	5.400557	125.384705		150.0	6510400	4	0	0	1213	460	448	393	LC	27.8	20.6	23.638904109589042	6.743287671232877							
2011	Gastropoda	Neogastropoda	Conidae	Conus	Conus neptunus	8.74	123.22			6510400	4	0	0	1213	460	448	393	LC	33.0	24.3	27.962465753424656	10.852328767123288							
