1800	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1905	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728212	18	0	0	1213	460	448	393	LC											
1919	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1946	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher	9.4	-14.8		51.0	5728211	18	0	0	1213	460	448	393	LC	28.2	22.8	25.67753424657534	7.3334246575342465							
1949	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher	28.0	-82.0			5728211	18	0	0	1213	460	448	393	LC	33.9	0.9	21.96712328767123	2.646027397260274							
1951	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728212	18	0	0	1213	460	448	393	LC											
1954	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1956	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1961	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1962	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1963	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1964	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher	5.95	1.57		200.0	5728212	18	0	0	1213	460	448	393	LC	32.5	22.0	26.310928961748633	3.403825136612022							
1966	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1967	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher				2.0	5728211	18	0	0	1213	460	448	393	LC											
1969	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1970	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1971	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher	5.2	-4.24			5728211	18	0	0	1213	460	448	393	LC	33.0	19.1	25.395342465753426	6.529589041095891							
1972	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1973	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher	14.668056	-17.399444			5728211	18	0	0	1213	460	448	393	LC	35.3	16.6	24.79260273972603	0.7572602739726028							
1974	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher	-20.3	57.58333			5728211	18	0	0	1213	460	448	393	LC	28.5	14.2	21.272328767123287	3.4126027397260272							
1975	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1976	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1977	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1978	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1980	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher	14.66	-17.41		15.0	5728211	18	0	0	1213	460	448	393	LC	32.6	17.1	24.458196721311474	0.8745901639344262							
1981	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1982	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1983	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1985	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher	18.8333	-16.35			5728211	18	0	0	1213	460	448	393	LC	43.7	11.6	26.083287671232878	0.02219178082191781							
1986	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher	14.95	-16.95			5728211	18	0	0	1213	460	448	393	LC	35.7	13.7	24.253424657534246	0.6183561643835617							
1987	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1988	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher	14.71	-17.42		10.0	5728211	18	0	0	1213	460	448	393	LC	34.2	16.9	24.534153005464482	1.0262295081967212							
1989	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
1991	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher	5.3805	-0.3467			5728211	18	0	0	1213	460	448	393	LC	32.2	22.3	26.29260273972603	1.5386301369863014							
1992	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728212	18	0	0	1213	460	448	393	LC											
1994	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher	-8.8383	13.2344			5728211	18	0	0	1213	460	448	393	LC	34.9	16.0	25.177260273972603	1.9509589041095892							
2002	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher	28.819142	-13.621365		45.0	5728211	18	0	0	1213	460	448	393	LC	25.2	14.2	19.544657534246575	0.12767123287671234							
2004	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher	0.406581	6.60879			5728211	18	0	0	1213	460	448	393	LC	29.8	23.5	26.35737704918033	2.830874316939891							
2006	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
2009	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
2012	Gastropoda	Neogastropoda	Conidae	Conus	Conus pulcher					5728211	18	0	0	1213	460	448	393	LC											
