1905	Gastropoda	Neogastropoda	Conidae	Conus	Conus typhon					6509607	1	0	0	1213	460	448	393	LC											
1958	Gastropoda	Neogastropoda	Conidae	Conus	Conus typhon	-30.785	30.485			6509607	1	0	0	1213	460	448	393	LC	32.3	10.3	21.045205479452054	2.4038356164383563							
1974	Gastropoda	Neogastropoda	Conidae	Conus	Conus typhon	-13.495603	41.572754			6509607	1	0	0	1213	460	448	393	LC	28.1	21.5	25.35808219178082	3.865205479452055							
1982	Gastropoda	Neogastropoda	Conidae	Conus	Conus typhon	-29.8495	31.0393			6509607	1	0	0	1213	460	448	393	LC	34.2	9.8	20.63041095890411	1.5482191780821917							
1983	Gastropoda	Neogastropoda	Conidae	Conus	Conus typhon					6509607	1	0	0	1213	460	448	393	LC											
1985	Gastropoda	Neogastropoda	Conidae	Conus	Conus typhon					6509607	1	0	0	1213	460	448	393	LC											
1987	Gastropoda	Neogastropoda	Conidae	Conus	Conus typhon	-17.271156	38.157459		35.0	6509607	1	0	0	1213	460	448	393	LC	37.5	16.4	24.94876712328767	2.244109589041096							
1988	Gastropoda	Neogastropoda	Conidae	Conus	Conus typhon	-18.99802	36.22698			6509607	1	0	0	1213	460	448	393	LC	34.0	17.6	24.983879781420764	2.9120218579234973							
1989	Gastropoda	Neogastropoda	Conidae	Conus	Conus typhon					6509607	1	0	0	1213	460	448	393	LC											
1990	Gastropoda	Neogastropoda	Conidae	Conus	Conus typhon	-33.96	25.62			6509607	1	0	0	1213	460	448	393	LC	31.2	9.1	18.134246575342466	1.2271232876712328							
2002	Gastropoda	Neogastropoda	Conidae	Conus	Conus typhon				60.0	6509607	1	0	0	1213	460	448	393	LC											
2004	Gastropoda	Neogastropoda	Conidae	Conus	Conus typhon	-19.143667	36.202498		40.0	6509607	1	0	0	1213	460	448	393	LC	30.1	18.8	25.208196721311474	2.237704918032787							
2007	Gastropoda	Neogastropoda	Conidae	Conus	Conus typhon	-17.28	38.13		11.0	6509607	1	0	0	1213	460	448	393	LC	35.0	16.6	25.477534246575342	2.237808219178082							
