1800	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					6510722	22	0	0	1213	460	448	393	LC											
1879	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					6510722	22	0	0	1213	460	448	393	LC											
1929	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1938	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1950	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1954	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus	25.0	45.0			6510722	22	0	0	1213	460	448	393	LC	42.7	-0.1	23.92219178082192	0.16931506849315067							
1955	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus	-6.123824	39.337517			5728242	22	0	0	1213	460	448	393	LC	32.3	19.0	25.73095890410959	2.3323287671232875							
1957	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus	-6.171829	39.133333			5728242	22	0	0	1213	460	448	393	LC	31.8	19.7	25.6786301369863	4.005205479452055							
1958	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1960	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1961	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1962	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1963	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus	13.44718	144.7709			5728242	22	0	0	1213	460	448	393	LC	28.7	23.4	26.303835616438356	7.283835616438356							
1964	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus	-5.4083	53.3328			5728242	22	0	0	1213	460	448	393	LC	29.5	23.5	26.052185792349725	3.7868852459016393							
1965	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus	-4.6	55.4			5728242	22	0	0	1213	460	448	393	LC	28.9	23.3	25.905479452054795	5.034246575342466							
1966	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1967	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1968	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1970	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1972	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1973	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus	1.9438	45.1678			5728242	22	0	0	1213	460	448	393	LC	33.3	22.5	26.712054794520547	1.130958904109589							
1975	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1976	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1977	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus	13.03	80.33			5728242	22	0	0	1213	460	448	393	LC	38.3	15.9	27.633424657534245	2.232876712328767							
1978	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus	9.283333	79.3			5728242	22	0	0	1213	460	448	393	LC	30.3	23.9	27.03123287671233	2.467945205479452							
1979	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1980	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1981	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus	9.283333	79.3			5728242	22	0	0	1213	460	448	393	LC	30.8	23.2	27.046301369863013	2.132876712328767							
1982	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1983	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus					5728242	22	0	0	1213	460	448	393	LC											
1984	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus	-14.970367	40.74851			5728242	22	0	0	1213	460	448	393	LC	33.5	16.5	24.93005464480874	3.949726775956284							
1985	Gastropoda	Neogastropoda	Conidae	Conus	Conus zeylanicus	9.35	78.99			5728242	22	0	0	1213	460	448	393	LC	35.5	21.4	27.847671232876714	1.8676712328767124							
