1918	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.627501	-85.165298			2288323	1	0	0	1213	179	165	16	EN											
1929	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.774359	-85.218426			2288323	1	0	0	1213	179	165	16	EN											
1932	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.749062	-85.19931			2288323	1	0	0	1213	179	165	16	EN											
1933	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.761492	-85.194602			2288323	1	0	0	1213	179	165	16	EN											
1953	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.509529	-85.162073			2288323	1	0	0	1213	179	165	16	EN	36.8	-3.0	19.82849315068493	3.610958904109589							
1954	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.258253	-85.165194			2288323	1	0	0	1213	179	165	16	EN	37.8	-1.4	20.20739726027397	2.253972602739726							
1961	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	27.745918	-81.526031			2288323	1	0	0	1213	179	165	16	EN	34.6	0.8	22.266027397260274	2.17972602739726							
1980	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.2875	-85.14467			2288323	1	0	0	1213	179	165	16	EN	37.8	-4.4	19.63415300546448	3.6775956284153004							
1981	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis					2288323	1	0	0	1213	179	165	16	EN											
1986	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis					2288323	1	0	0	1213	179	165	16	EN											
1987	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.303	-85.1489			2288323	1	0	0	1213	179	165	16	EN	35.6	-1.9	19.623561643835618	5.173698630136986							
1988	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis					2288323	1	0	0	1213	179	165	16	EN											
1991	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis					2288323	1	0	0	1213	179	165	16	EN											
1993	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.2875	-85.978			2288323	1	0	0	1213	179	165	16	EN	32.5	0.0	20.081917808219178	3.843287671232877							
1996	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis					2288323	1	0	0	1213	179	165	16	EN											
2006	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis					2288323	1	0	0	1213	179	165	16	CR											
2007	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.8609	-85.26562			2288323	1	0	0	1213	179	165	16	CR	38.2	-3.7	20.834520547945207	1.9964383561643837							
2008	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	35.0738	-90.104			2288323	1	0	0	1213	179	165	16	CR	36.8	-8.2	16.42568306010929	3.3191256830601095							
2010	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.12246	-85.14376			2288323	1	0	0	1213	179	165	16	CR	36.7	-4.5	19.265753424657536	3.183287671232877							
2013	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.675111	-85.208528			2288323	1	0	0	1213	179	165	16	CR	33.2	-0.0	19.37890410958904	4.393972602739726							
2014	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.102761	-85.176429			2288323	1	0	0	1213	179	165	16	CR	36.0	-4.7	19.455890410958904	3.6846575342465755							
2015	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.56143	-85.1751			2288323	1	0	0	1213	179	165	16	CR	35.4	-4.6	20.87041095890411	3.228219178082192							
2017	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio chipolaensis	30.67995	-85.19557			2288323	1	0	0	1213	179	165	16	CR	33.9	-2.4	20.81041095890411	3.5701369863013697							
