1833	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli	31.4	-86.8667			2288330	1	0	0	1213	179	165	16	NT											
1912	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli					2288330	1	0	0	1213	179	165	16	NT											
1913	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli					2288330	1	0	0	1213	179	165	16	NT											
1915	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli					2288330	1	0	0	1213	179	165	16	NT											
1916	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli					2288330	1	0	0	1213	179	165	16	NT											
1934	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli					2288330	1	0	0	1213	179	165	16	NT											
1954	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli					2288330	1	0	0	1213	179	165	16	NT											
1958	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli	30.6156	-85.9137			2288330	1	0	0	1213	179	165	16	NT	35.1	-4.6	18.70794520547945	3.5967123287671234							
1961	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli	30.9495	-85.8432			2288330	1	0	0	1213	179	165	16	NT	35.1	-4.9	18.91890410958904	2.9791780821917806							
1969	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli	31.1118	-86.0909			2288330	1	0	0	1213	179	165	16	NT	38.3	-4.7	18.548219178082192	2.786301369863014							
1970	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli					2288330	1	0	0	1213	179	165	16	NT											
1972	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli					2288330	1	0	0	1213	179	165	16	NT											
1973	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli					2288330	1	0	0	1213	179	165	16	NT											
1974	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli	30.775844	-85.827349		0.76	2288330	1	0	0	1213	179	165	16	NT	35.2	-2.5	19.983287671232876	2.5854794520547943							
1976	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli	31.346667	-85.60833			2288330	1	0	0	1213	179	165	16	NT	35.1	-4.7	18.056830601092898	3.2346994535519125							
1977	Bivalvia	Unionida	Unionidae	Elliptio	Elliptio mcmichaeli	31.4589	-85.6406			2288330	1	0	0	1213	179	165	16	NT	36.5	-11.1	18.35095890410959	2.9315068493150687							
