1977	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	0.7883	-86.13		2496.0	5857873	1	0	0	1213	399	39	2	NT	26.8	20.3	23.52	0.3917808219178082							
1979	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea					5857873	1	0	0	1213	399	39	2	NT											
1982	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	20.8333	-109.1		2616.0	5857873	1	0	0	1213	399	39	2	NT	29.9	19.4	24.207123287671234	0.7301369863013699							
1985	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	0.8	-86.2166		2600.0	5857873	1	0	0	1213	399	39	2	NT	26.5	20.5	22.92876712328767	0.21835616438356165							
1987	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	12.808833	-103.941333		2630.0	5857873	1	0	0	1213	399	39	2	NT	29.0	24.2	27.092602739726026	4.502191780821918							
1988	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	11.4383	-103.7883		2600.0	5857873	1	0	0	1213	399	39	2	NT	29.0	24.3	26.65327868852459	7.767486338797815							
1990	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	0.8033	-86.2317		2461.0	5857873	1	0	0	1213	399	39	2	NT	27.3	20.8	23.773972602739725	0.6586301369863014							
1996	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	9.8425	-104.293167		2534.0	5857873	1	0	0	1213	399	39	2	NT	28.6	23.8	26.15273224043716	6.7942622950819676							
1998	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	9.8421	-104.2919		2505.0	5857873	1	0	0	1213	399	39	2	NT	30.1	24.4	26.907397260273974	8.00986301369863							
1999	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	12.795333	-103.931833		2632.0	5857873	1	0	0	1213	399	39	2	NT	29.2	23.8	26.69041095890411	5.48986301369863							
2001	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	9.8455	-104.294		2499.0	5857873	1	0	0	1213	399	39	2	NT	28.9	24.1	26.416986301369864	8.801643835616439							
2002	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	9.8436	-104.292		2500.0	5857873	1	0	0	1213	399	39	2	NT	29.2	24.0	26.56739726027397	7.132054794520548							
2003	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	9.8371	-104.279		2540.0	5857873	1	0	0	1213	399	39	2	NT	29.1	24.6	26.51287671232877	8.21013698630137							
2006	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	9.8387	-104.2912		2505.0	5857873	1	0	0	1213	399	39	2	NT	29.1	23.6	26.547123287671234	7.367945205479452							
2007	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	9.8387	-104.2912		2505.0	5857873	1	0	0	1213	399	39	2	NT	28.8	23.7	26.44219178082192	8.118630136986301							
2008	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	9.8387	-104.2912		2505.0	5857873	1	0	0	1213	399	39	2	NT	29.1	24.0	26.35136612021858	8.008469945355191							
2012	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	23.380269	-108.528048		2335.5	5857873	1	0	0	1213	399	39	2	NT	31.1	17.5	24.721311475409838	0.6912568306010929							
2014	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	9.8387	-104.2912		2505.0	5857873	1	0	0	1213	399	39	2	NT	29.5	24.3	26.803835616438356	7.6657534246575345							
2015	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	-0.769686	-85.91183		2567.6	5857873	1	0	0	1213	399	39	2	NT	27.8	21.3	24.813972602739724	0.46136986301369864							
2017	Gastropoda		Neolepetopsidae	Eulepetopsis	Eulepetopsis vitrea	9.8387	-104.2912		2505.0	5857873	1	0	0	1213	399	39	2	NT	29.4	24.3	26.781917808219177	8.64054794520548							
