1800	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1877	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1905	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-45.866	170.5			4616010	1	0	0	1213	65	38	38	LC											
1914	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-39.05	174.066			4616010	1	0	0	1213	65	38	38	LC											
1917	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1927	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-41.166667	175.5			4616010	1	0	0	1213	65	38	38	LC											
1936	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-41.283	174.616			4616010	1	0	0	1213	65	38	38	LC											
1940	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-36.333333	175.083333			4616010	1	0	0	1213	65	38	38	LC											
1941	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1943	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-44.3876	171.2509			4616010	1	0	0	1213	65	38	38	LC	28.4	-6.1	9.676986301369864	2.275068493150685							
1946	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-41.333	-174.8			4616010	1	0	0	1213	65	38	38	LC	18.9	6.1	13.233150684931507	2.447945205479452							
1949	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-36.283	174.816			4616010	1	0	0	1213	65	38	38	LC	24.8	6.5	15.11041095890411	3.358082191780822							
1951	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1952	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-47.0	167.833			4616010	1	0	0	1213	65	38	38	LC	20.4	2.5	10.614207650273224	4.784699453551912							
1953	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-39.9	175.016667			4616010	1	0	0	1213	65	38	38	LC	24.0	-1.3	12.237808219178081	3.461095890410959							
1955	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1956	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-41.216	174.7			4616010	1	0	0	1213	65	38	38	LC	21.8	4.7	13.52295081967213	2.893989071038251							
1958	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1959	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1960	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-35.1	173.866			4616010	1	0	0	1213	65	38	38	LC	30.6	1.7	14.680327868852459	5.274316939890711							
1961	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-49.7	178.8667		274.0	4616010	1	0	0	1213	65	38	38	LC	12.5	1.0	7.385753424657534	1.6945205479452055							
1962	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-49.700001	178.838303		123.0	4616010	1	0	0	1213	65	38	38	LC	13.7	1.6	8.068493150684931	2.1484931506849314							
1963	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-41.2821	174.7811			4616010	1	0	0	1213	65	38	38	LC	20.6	3.1	12.77041095890411	2.523835616438356							
1964	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1966	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1967	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1968	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1969	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1970	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1972	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-41.35	174.85			4616010	1	0	0	1213	65	38	38	LC	21.9	2.6	12.719672131147542	2.097814207650273							
1973	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1974	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1975	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1978	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1980	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-41.35	174.77304			4616010	1	0	0	1213	65	38	38	LC	20.1	3.9	12.818579234972677	2.650546448087432							
1982	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-42.4285	173.6886			4616010	1	0	0	1213	65	38	38	LC	31.1	0.3	12.895616438356164	2.2186301369863015							
1984	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-36.824	174.679			4616010	1	0	0	1213	65	38	38	LC	25.5	5.3	15.287704918032787	2.9453551912568305							
1985	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-48.028333	166.61		0.0	4616010	1	0	0	1213	65	38	38	LC	15.6	2.8	10.433698630136986	3.2794520547945205							
1986	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1987	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-36.27	174.775		0.0	4616010	1	0	0	1213	65	38	38	LC	24.9	6.5	14.976986301369863	2.4482191780821916							
1990	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-41.25	173.3			4616010	1	0	0	1213	65	38	38	LC	25.8	0.7	12.743835616438357	3.7134246575342464							
1991	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1993	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis					4616010	1	0	0	1213	65	38	38	LC											
1995	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-41.356	174.074			4616010	1	0	0	1213	65	38	38	LC	22.0	3.7	12.616712328767123	3.06							
1999	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-42.514972	173.50485	20.0		4616010	1	0	0	1213	65	38	38	LC	28.1	-0.6	12.66	2.243287671232877							
2004	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-41.083	174.25		4.0	4616010	1	0	0	1213	65	38	38	LC	20.3	4.9	12.720491803278689	3.0366120218579233							
2011	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis australis	-35.02735	173.915033			4616010	1	0	0	1213	65	38	38	LC	27.0	5.3	16.305205479452056	3.4312328767123286							
