1965	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	23.233333	-83.983333		1875.0	2290283	7	0	0	366	138	1	1	LC	29.7	16.6	25.594794520547946	1.6183561643835616							
1971	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	21.42	-158.42		212.5	2290283	7	0	0	366	138	1	1	LC	27.2	17.5	23.873698630136985	0.8427397260273972							
1972	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	21.33	-158.33			2290283	7	0	0	366	138	1	1	LC	31.2	16.6	23.797267759562843	2.2254098360655736							
1973	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	31.93	-63.735		1000.0	2290283	7	0	0	366	138	1	1	LC	28.0	11.8	21.46821917808219	3.7084931506849315							
1974	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	21.42	-158.42		225.0	2290283	7	0	0	366	138	1	1	LC	27.8	20.6	24.322191780821917	1.027945205479452							
1977	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri					2290283	7	0	0	366	138	1	1	LC											
1978	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	-34.39166	151.65			2290283	7	0	0	366	138	1	1	LC	25.9	9.4	18.21972602739726	3.4857534246575343							
1979	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri					2290283	7	0	0	366	138	1	1	LC											
1981	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	-9.68	151.708			2290283	7	0	0	366	138	1	1	LC	28.9	24.3	26.54931506849315	7.068493150684931							
1986	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	42.816666	-54.1333		0.0	2290283	7	0	0	366	138	1	1	LC	22.9	-6.1	10.494520547945205	4.6778082191780825							
1991	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	-38.4265	47.342333		25.0	2290283	7	0	0	366	138	1	1	LC	22.1	6.3	15.755616438356164	2.9742465753424656							
1996	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	21.3333	-158.3333		1027.0	2290283	7	0	0	366	138	1	1	LC	31.7	17.4	24.64071038251366	2.00327868852459							
2000	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	-35.4	18.7		742.0	2290283	7	0	0	366	138	1	1	LC	22.2	9.5	17.376502732240436	1.0090163934426228							
2001	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	-32.016667	15.9		950.0	2290283	7	0	0	366	138	1	1	LC	21.7	10.5	17.233698630136985	0.4432876712328767							
2010	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	26.9653	-92.3169		1601.5	2290283	7	0	0	366	138	1	1	LC	30.4	8.2	23.122739726027397	2.69972602739726							
2012	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	39.7272	-67.5105		1066.03	2290283	7	0	0	366	138	1	1	LC	26.9	-0.4	15.746994535519125	4.294808743169399							
2015	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri					2290283	7	0	0	366	138	1	1	LC											
2016	Cephalopoda	Oegopsida	Joubiniteuthidae	Joubiniteuthis	Joubiniteuthis portieri	21.33	-158.330002			2290283	7	0	0	366	138	1	1	LC	31.1	17.0	25.28551912568306	0.7879781420765027							
