1800	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	35.152852	-118.501694			2301994	1	0	0	1213	460	1	1	LC											
1877	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1900	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1902	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1903	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1904	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	41.355247	-122.255635			2301994	1	0	0	1213	460	1	1	LC											
1922	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1923	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1926	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1929	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	42.4711	-121.8728			2301994	1	0	0	1213	460	1	1	LC											
1931	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1934	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	40.00359	-120.9699			2301994	1	0	0	1213	460	1	1	LC											
1936	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	40.97536	-122.43117			2301994	1	0	0	1213	460	1	1	LC											
1937	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	41.8062	-124.0817			2301994	1	0	0	1213	460	1	1	LC											
1947	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	38.68209	-121.17525			2301994	1	0	0	1213	460	1	1	LC	39.1	-2.8	15.062465753424657	1.387945205479452							
1948	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1949	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1951	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	39.536	-123.4162			2301994	1	0	0	1213	460	1	1	LC	34.9	-3.6	12.524109589041096	4.65013698630137							
1953	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1960	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1966	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	38.5841	-122.858			2301994	1	0	0	1213	460	1	1	LC	38.4	-0.9	14.83972602739726	1.4391780821917808							
1967	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1970	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1976	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	39.7667	-120.85			2301994	1	0	0	1213	460	1	1	LC	29.9	-19.1	6.1259562841530055	1.542896174863388							
1978	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	40.8364	-122.021			2301994	1	0	0	1213	460	1	1	LC	44.0	-5.1	15.183561643835617	3.9734246575342467							
1979	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	40.721	-119.483			2301994	1	0	0	1213	460	1	1	LC	37.6	-21.2	11.22931506849315	0.5923287671232876							
1980	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
1984	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	41.32869	-122.327123			2301994	1	0	0	1213	460	1	1	LC	38.0	-11.6	9.794535519125683	3.398360655737705							
1987	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	38.915	-123.2567	268.0	0.0	2301994	1	0	0	1213	460	1	1	LC	29.8	1.0	12.467671232876713	2.512876712328767							
1989	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	40.07	-120.92	1097.0	0.0	2301994	1	0	0	1213	460	1	1	LC	35.1	-24.7	8.376712328767123	2.935890410958904							
1997	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
2001	Gastropoda		Semisulcospiridae	Juga	Juga nigrina					2301994	1	0	0	1213	460	1	1	LC											
2002	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	86.266667	-29.933333		50.0	2301994	1	0	0	1213	460	1	1	LC	2.8	-36.6	-13.45013698630137	0.2191780821917808							
2007	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	40.98665	-121.51295			2301994	1	0	0	1213	460	1	1	LC	40.6	-9.4	12.412328767123288	1.9427397260273973							
2011	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	40.86463	-122.13951			2301994	1	0	0	1213	460	1	1	LC	37.3	-5.7	13.314520547945206	3.2095890410958905							
2014	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	39.2374	-123.392			2301994	1	0	0	1213	460	1	1	LC	34.4	-2.1	14.483835616438355	2.861643835616438							
2015	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	41.2888	-124.057			2301994	1	0	0	1213	460	1	1	LC	30.4	2.0	13.38109589041096	3.0421917808219177							
2016	Gastropoda		Semisulcospiridae	Juga	Juga nigrina	38.3395	-122.598639	467.56		2301994	1	0	0	1213	460	1	1	LC	35.7	-3.6	13.50983606557377	2.245355191256831							
