1929	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	32.324812	-83.423564			2288171	1	0	0	1213	179	165	17	LC											
1951	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida					2288171	1	0	0	1213	179	165	17	LC											
1957	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	33.4179	-81.5598			2288171	1	0	0	1213	179	165	17	LC	37.2	-7.0	17.900547945205478	3.331232876712329							
1959	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	31.3776	-81.5188			2288171	1	0	0	1213	179	165	17	LC	36.0	-3.4	19.556986301369864	4.186849315068494							
1961	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	31.9148	-82.6796			2288171	1	0	0	1213	179	165	17	LC	37.7	-5.3	19.225479452054795	2.266301369863014							
1962	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	32.2617	-83.4056			2288171	1	0	0	1213	179	165	17	LC	38.1	-10.1	18.903835616438357	2.273698630136986							
1963	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	33.224847	-81.805982			2288171	1	0	0	1213	179	165	17	LC	36.8	-5.7	17.456164383561642	2.4906849315068493							
1965	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	33.147927	-81.897894			2288171	1	0	0	1213	179	165	17	LC	34.9	-3.7	17.85945205479452	2.4202739726027396							
1966	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	34.246531	-80.650901			2288171	1	0	0	1213	179	165	17	LC	36.5	-12.0	16.494520547945207	2.916164383561644							
1967	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	33.734	-79.9457			2288171	1	0	0	1213	179	165	17	LC	33.8	-6.7	17.678356164383562	2.3079452054794523							
1969	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida					2288171	1	0	0	1213	179	165	17	LC											
1972	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	33.2464	-80.0311			2288171	1	0	0	1213	179	165	17	LC	35.1	-6.3	18.340983606557376	2.712021857923497							
1973	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida					2288171	1	0	0	1213	179	165	17	LC											
1974	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	31.6666	-81.8379			2288171	1	0	0	1213	179	165	17	LC	35.8	-3.5	19.865753424657534	2.642739726027397							
1976	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	32.00564	-82.75404			2288171	1	0	0	1213	179	165	17	LC	35.5	-4.8	18.15191256830601	3.3010928961748633							
1977	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	32.0086	-82.7527			2288171	1	0	0	1213	179	165	17	LC	38.5	-8.9	18.834246575342465	2.5616438356164384							
1978	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	34.7459	-86.2333			2288171	1	0	0	1213	179	165	17	LC	36.9	-9.7	15.598082191780822	2.831780821917808							
1979	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	31.901	-82.1149			2288171	1	0	0	1213	179	165	17	LC	36.2	-4.6	18.544931506849316	3.0024657534246577							
1980	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida					2288171	1	0	0	1213	179	165	17	LC											
1981	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	33.5083	-82.0	40.0	1.0	2288171	1	0	0	1213	179	165	17	LC	37.7	-6.5	17.35013698630137	2.5931506849315067							
1982	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	31.9833	-82.1333		2.0	2288171	1	0	0	1213	179	165	17	LC	35.7	-9.6	19.212602739726027	3.218904109589041							
1986	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida					2288171	1	0	0	1213	179	165	17	LC											
1987	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida					2288171	1	0	0	1213	179	165	17	LC											
1988	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	32.08333	-81.1			2288171	1	0	0	1213	179	165	17	LC	36.4	-3.4	18.404644808743168	2.9245901639344263							
1997	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida					2288171	1	0	0	1213	179	165	17	LC											
1998	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	33.1503	-81.755			2288171	1	0	0	1213	179	165	17	LC	37.7	-2.9	19.083561643835615	3.555890410958904							
1999	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	31.858833	-82.0915			2288171	1	0	0	1213	179	165	17	LC	37.1	-5.3	19.35178082191781	2.5104109589041097							
2001	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	31.50593	-82.04918			2288171	1	0	0	1213	179	165	17	LC	35.6	-5.8	19.40684931506849	1.8021917808219179							
2003	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	31.9237	-82.6595			2288171	1	0	0	1213	179	165	17	LC	34.4	-5.9	18.96164383561644	3.1202739726027398							
2004	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	31.9406	-82.3592			2288171	1	0	0	1213	179	165	17	LC	36.0	-3.2	19.1620218579235	2.908469945355191							
2005	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	33.3273	-80.1451			2288171	1	0	0	1213	179	165	17	LC	37.0	-4.8	18.184383561643834	3.175890410958904							
2006	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	31.790001	-82.0			2288171	1	0	0	1213	179	165	17	LC	37.9	-3.2	19.866849315068492	1.9810958904109588							
2007	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	32.009998	-83.290001			2288171	1	0	0	1213	179	165	17	LC	38.3	-3.0	19.64301369863014	2.389041095890411							
2008	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	33.39542	-80.00018			2288171	1	0	0	1213	179	165	17	LC	36.9	-3.2	18.33224043715847	3.246994535519126							
2009	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	34.3155	-78.5251			2288171	1	0	0	1213	179	165	17	LC	35.7	-6.2	17.306027397260273	3.6994520547945204							
2010	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	30.7934	-82.97927			2288171	1	0	0	1213	179	165	17	LC	38.8	-4.2	19.052054794520547	2.489041095890411							
2011	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	31.666944	-81.84602			2288171	1	0	0	1213	179	165	17	LC	38.3	-5.1	20.268493150684932	2.115068493150685							
2014	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	34.9441	-79.8682			2288171	1	0	0	1213	179	165	17	LR/nt	35.5	-13.7	16.621917808219177	2.9306849315068493							
2017	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis splendida	33.9948	-81.0488			2288171	1	0	0	1213	179	165	17	LR/nt	35.5	-5.2	18.826301369863014	3.0975342465753424							
