1891	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus					5783797	8	0	0	1213	63	12	1	LC											
1901	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus					5783797	8	0	0	1213	63	12	1	LC											
1953	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus					5783797	8	0	0	1213	63	12	1	LC											
1954	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus	5.91	-0.98			5783797	8	0	0	1213	63	12	1	LC	34.5	18.4	24.86849315068493	2.9224657534246576							
1955	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus	7.11	-0.38			5783797	8	0	0	1213	63	12	1	LC	37.5	16.6	26.43041095890411	2.757808219178082							
1956	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus	-4.25	15.28			5783797	8	0	0	1213	63	12	1	LC	34.7	15.4	24.792622950819673	2.3882513661202185							
1959	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus	8.05	-1.71			5783797	8	0	0	1213	63	12	1	LC	37.0	16.1	26.04191780821918	3.7816438356164386							
1960	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus	6.3	0.58			5783797	8	0	0	1213	63	12	1	LC	36.3	20.0	26.02377049180328	3.3975409836065573							
1961	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus	5.7	-1.65			5783797	8	0	0	1213	63	12	1	LC	35.6	18.4	25.364657534246575	2.8419178082191783							
1965	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus	6.96	7.5			5783797	8	0	0	1213	63	12	1	LC	34.7	16.2	25.24027397260274	2.7545205479452055							
1969	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus					5783797	8	0	0	1213	63	12	1	LC											
1970	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus	0.38	9.45			5783797	8	0	0	1213	63	12	1	LC	30.9	20.2	25.08219178082192	7.491232876712329							
1971	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus	-0.81	9.0			5783797	8	0	0	1213	63	12	1	LC	30.4	19.0	24.911506849315067	5.502465753424658							
1975	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus	6.08	-3.76			5783797	8	0	0	1213	63	12	1	LC	34.5	17.6	24.861095890410958	4.362465753424657							
1976	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus	3.81	11.03			5783797	8	0	0	1213	63	12	1	LC	29.8	17.9	22.224863387978143	6.259289617486338							
1979	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus	3.8	10.13			5783797	8	0	0	1213	63	12	1	LC	39.8	21.9	25.47150684931507	6.862739726027397							
1986	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus					5783797	8	0	0	1213	63	12	1	LC											
1989	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus					5783797	8	0	0	1213	63	12	1	LC											
1991	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus					5783797	8	0	0	1213	63	12	1	LC											
1994	Gastropoda	Architaenioglossa	Ampullariidae	Lanistes	Lanistes libycus	-4.57	13.09			5783797	8	0	0	1213	63	12	1	LC	31.9	16.4	23.773972602739725	3.692876712328767							
