1902	Gastropoda		Pleuroceridae	Leptoxis	Leptoxis compacta					5192840	0	0	0	1213	399	3	1	EX											
1906	Gastropoda		Pleuroceridae	Leptoxis	Leptoxis compacta	33.17417	-86.98028			5192840	0	0	0	1213	399	3	1	EX											
1909	Gastropoda		Pleuroceridae	Leptoxis	Leptoxis compacta	32.31917	-87.09472			5192840	0	0	0	1213	399	3	1	EX											
1912	Gastropoda		Pleuroceridae	Leptoxis	Leptoxis compacta	32.31917	-87.09472			5192840	0	0	0	1213	399	3	1	EX											
1916	Gastropoda		Pleuroceridae	Leptoxis	Leptoxis compacta	33.08944	-87.04139			5192840	0	0	0	1213	399	3	1	EX											
1918	Gastropoda		Pleuroceridae	Leptoxis	Leptoxis compacta	33.08944	-87.04139			5192840	0	0	0	1213	399	3	1	EX											
1925	Gastropoda		Pleuroceridae	Leptoxis	Leptoxis compacta	33.10017	-87.04991			5192840	0	0	0	1213	399	3	1	EX											
1933	Gastropoda		Pleuroceridae	Leptoxis	Leptoxis compacta	33.019001	-87.078201			5192840	0	0	0	1213	399	3	1	EX											
2011	Gastropoda		Pleuroceridae	Leptoxis	Leptoxis compacta	33.1786	-87.01748			5192840	0	0	0	1213	399	3	1	CR	37.3	-9.0	18.316164383561645	3.323287671232877							
2017	Gastropoda		Pleuroceridae	Leptoxis	Leptoxis compacta	33.1653	-87.0296			5192840	0	0	0	1213	399	3	1	CR	35.7	-6.4	18.97972602739726	3.75972602739726							
2018	Gastropoda		Pleuroceridae	Leptoxis	Leptoxis compacta	33.1695	-87.0216			5192840	0	0	0	1213	399	3	1	CR	35.6	-9.9	18.333150684931507	3.9797260273972603							
2019	Gastropoda		Pleuroceridae	Leptoxis	Leptoxis compacta	33.1849	-87.0018			5192840	0	0	0	1213	399	3	1	CR	37.6	-3.2	19.18027397260274	3.681369863013699							
