1800	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1872	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-10.433	161.5			5725398	14	0	0	1213	88	3	2	LC											
1874	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-32.7	152.083			5725398	14	0	0	1213	88	3	2	LC											
1877	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-33.966	151.25			5725398	14	0	0	1213	88	3	2	LC											
1881	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1887	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-31.54944	159.0625			5725398	14	0	0	1213	88	3	2	LC											
1888	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-20.183	57.533			5725398	14	0	0	1213	88	3	2	LC											
1893	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-15.3	145.25			5725398	14	0	0	1213	88	3	2	LC											
1894	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-17.22638	145.966			5725398	14	0	0	1213	88	3	2	LC											
1895	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1897	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-20.883	167.216			5725398	14	0	0	1213	88	3	2	LC											
1900	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1901	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-16.933	146.0			5725398	14	0	0	1213	88	3	2	LC											
1903	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	13.52	122.08			5725398	14	0	0	1213	88	3	2	LC											
1904	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-9.566	149.533			5725398	14	0	0	1213	88	3	2	LC											
1905	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-31.549449	159.083044			5725398	14	0	0	1213	88	3	2	LC											
1906	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1907	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-9.933	144.066			5725398	14	0	0	1213	88	3	2	LC											
1908	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1909	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata				3.65	5725398	14	0	0	1213	88	3	2	LC											
1910	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-29.033	167.95			5725398	14	0	0	1213	88	3	2	LC											
1911	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1912	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-31.54944	159.0625			5725398	14	0	0	1213	88	3	2	LC											
1913	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1915	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-4.233	152.2			5725398	14	0	0	1213	88	3	2	LC											
1916	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-14.666	145.466			5725398	14	0	0	1213	88	3	2	LC											
1918	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-10.5	105.666			5725398	14	0	0	1213	88	3	2	LC											
1919	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-6.75	156.166			5725398	14	0	0	1213	88	3	2	LC											
1920	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1923	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1925	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1926	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	17.72	74.18			5725398	14	0	0	1213	88	3	2	LC											
1927	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1928	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-16.383	145.566			5725398	14	0	0	1213	88	3	2	LC											
1929	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-16.766	145.966			5725398	14	0	0	1213	88	3	2	LC											
1936	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-12.25	136.883			5725398	14	0	0	1213	88	3	2	LC											
1940	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-8.333	115.0			5725398	14	0	0	1213	88	3	2	LC											
1941	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1944	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-24.483	113.416			5725398	14	0	0	1213	88	3	2	LC	45.1	8.8	22.841803278688523	0.9281420765027323							
1945	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					10930760	14	0	0	1213	88	3	2	LC											
1946	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1947	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	16.75	-169.53			5725398	14	0	0	1213	88	3	2	LC	27.6	21.9	25.247397260273974	1.3717808219178083							
1948	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1949	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	13.47	144.78			5725398	14	0	0	1213	88	3	2	LC	28.0	24.0	26.301917808219176	2.950958904109589							
1950	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-22.266	166.45			5725398	14	0	0	1213	88	3	2	LC	29.6	14.7	22.312876712328766	6.668219178082192							
1951	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-23.133	150.75			5725398	14	0	0	1213	88	3	2	LC	33.2	8.7	22.069041095890412	1.2063013698630136							
1952	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1953	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1954	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1955	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-25.1	152.816			5725398	14	0	0	1213	88	3	2	LC	31.4	9.2	21.55041095890411	2.8268493150684932							
1956	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	6.93	79.85			5725398	14	0	0	1213	88	3	2	LC	32.2	18.0	25.613661202185792	8.333879781420766							
1957	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1958	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-4.67	55.47			5725398	14	0	0	1213	88	3	2	LC	26.0	20.9	23.346575342465755	3.998082191780822							
1959	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1960	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1961	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1962	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1963	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1964	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	10.0	79.75			5725398	14	0	0	1213	88	3	2	LC	30.7	23.7	27.18551912568306	2.5346994535519127							
1965	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1966	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-16.9	179.9		1.0	5725398	14	0	0	1213	88	3	2	LC	30.5	20.7	25.122465753424656	4.816438356164383							
1967	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1968	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1969	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1970	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-21.0	149.166			5725398	14	0	0	1213	88	3	2	LC	31.3	10.3	21.70739726027397	2.0945205479452054							
1971	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-6.12	106.98			5725398	14	0	0	1213	88	3	2	LC	33.4	20.7	26.297534246575342	4.674520547945206							
1972	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-16.8	145.716			5725398	14	0	0	1213	88	3	2	LC	33.5	16.5	23.43825136612022	4.027595628415301							
1973	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1974	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-14.683	145.45			5725398	14	0	0	1213	88	3	2	LC	32.1	17.2	24.97972602739726	3.762739726027397							
1975	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-14.67	145.47			5725398	14	0	0	1213	88	3	2	LC	30.8	15.4	24.033424657534248	4.336438356164384							
1976	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-11.116	132.133			5725398	14	0	0	1213	88	3	2	LC	31.7	20.1	26.611475409836064	4.935245901639345							
1977	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata	-17.75	168.333			5725398	14	0	0	1213	88	3	2	LC	27.7	19.9	24.508219178082193	4.203287671232877							
1978	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1979	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1980	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
1981	Gastropoda	Littorinimorpha	Littorinidae	Littoraria	Littoraria undulata					5725398	14	0	0	1213	88	3	2	LC											
