1826	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1871	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					7843893	13	2	0	1213	399	2	3	LC											
1895	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1905	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1909	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1910	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1913	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	13.083	80.3			7843893	13	2	0	1213	399	2	3	LC											
1920	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1925	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	26.58806	127.97611			5782605	13	2	0	1213	399	2	3	LC											
1929	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					8443645	13	2	0	1213	399	2	3	LC											
1930	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1937	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1940	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1941	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	14.660336	121.023489			8443645	13	2	0	1213	399	2	3	LC	32.8	20.8	26.45808219178082	7.91041095890411							
1944	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	-9.1	160.21667			5782605	13	2	0	1213	399	2	3	LC	28.8	24.4	26.417213114754098	14.154371584699453							
1945	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1948	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	5.314723	162.925543			8443645	13	2	0	1213	399	2	3	LC	29.3	24.4	26.75901639344262	8.030327868852458							
1949	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1952	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					7843893	13	2	0	1213	399	2	3	LC											
1954	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	11.233333	125.016667			8443645	13	2	0	1213	399	2	3	LC	31.3	21.8	25.915616438356164	6.306027397260274							
1956	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1957	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	24.05583	120.435			5782605	13	2	0	1213	399	2	3	LC	31.5	9.2	22.183835616438355	3.483013698630137							
1958	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1961	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					7843893	13	2	0	1213	399	2	3	LC											
1962	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1963	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1964	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	8.633333	98.416667			8443645	13	2	0	1213	399	2	3	LC	34.9	18.9	25.146994535519127	6.815846994535519							
1965	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	10.519475	76.217504			5782605	13	2	0	1213	399	2	3	LC	35.9	19.4	25.876438356164385	8.12109589041096							
1966	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1967	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	-17.618889	168.241667			5782605	13	2	0	1213	399	2	3	LC	27.7	20.4	24.33068493150685	4.878356164383562							
1968	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					7843893	13	2	0	1213	399	2	3	LC											
1969	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1970	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	-3.77	128.12		14.5	5782605	13	2	0	1213	399	2	3	LC	29.0	22.7	25.951780821917808	9.145753424657535							
1971	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					7843893	13	2	0	1213	399	2	3	LC											
1972	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					7843893	13	2	0	1213	399	2	3	LC											
1974	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					7843893	13	2	0	1213	399	2	3	LC											
1975	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1977	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1978	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					7843893	13	2	0	1213	399	2	3	LC											
1979	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1980	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					7843893	13	2	0	1213	399	2	3	LC											
1981	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1983	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					7843893	13	2	0	1213	399	2	3	LC											
1984	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					7843893	13	2	0	1213	399	2	3	LC											
1985	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1986	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1987	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	14.309444	101.326389			7843893	13	2	0	1213	399	2	3	LC	36.1	12.9	26.28767123287671	5.083287671232877							
1988	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	14.75	98.616667			7843893	13	2	0	1213	399	2	3	LC	37.9	14.0	25.103005464480873	8.347540983606557							
1989	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	-10.733333	165.833333			7843893	13	2	0	1213	399	2	3	LC	29.3	23.9	26.635342465753425	8.726575342465754							
1991	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1992	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1993	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	26.9908	-80.6061			5782605	13	2	0	1213	399	2	3	LC	34.1	7.3	23.58	2.2526027397260275							
1994	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1995	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1996	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1997	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
1998	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	24.368889	123.759444			5782605	13	2	0	1213	399	2	3	LC	30.0	13.9	24.76876712328767	6.505205479452055							
1999	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
2000	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
2002	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	-10.341817	150.636767			7843893	13	2	0	1213	399	2	3	LC	32.1	21.6	25.65808219178082	6.836986301369863							
2003	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	-10.303617	150.4382			7843893	13	2	0	1213	399	2	3	LC	33.5	19.5	25.926575342465753	7.496164383561644							
2004	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
2005	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	23.13166	113.26661			7843893	13	2	0	1213	399	2	3	LC	36.2	1.8	22.263013698630136	5.516164383561644							
2006	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	26.98611	-80.60639			7843893	13	2	0	1213	399	2	3	LC	33.6	6.5	23.857260273972603	1.7835616438356163							
2008	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra					5782605	13	2	0	1213	399	2	3	LC											
2009	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	21.208567	94.9259	34.75		5782605	13	2	0	1213	399	2	3	LC	41.0	14.3	27.58109589041096	1.8575342465753424							
2010	Gastropoda		Thiaridae	Mieniplotia	Mieniplotia scabra	-2.89055	132.306117			5782605	13	2	0	1213	399	2	3	LC	33.0	22.3	25.235068493150685	12.267671232876712							
