1800	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	37.7981	-88.027253			5192867	1	0	0	1213	399	3	1	VU											
1894	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare					5192867	1	0	0	1213	399	3	1	VU											
1900	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	37.902542	-87.499733			5192867	1	0	0	1213	399	3	1	VU											
1901	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare					5192867	1	0	0	1213	399	3	1	VU											
1902	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare					5192867	1	0	0	1213	399	3	1	VU											
1904	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare					5192867	1	0	0	1213	399	3	1	VU											
1906	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	34.47611	-86.46778			5192867	1	0	0	1213	399	3	1	VU											
1914	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	33.95139	-91.08139			5192867	1	0	0	1213	399	3	1	VU											
1923	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	36.986772	-84.607321			5192867	1	0	0	1213	399	3	1	VU											
1924	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	34.517899	-86.385597			5192867	1	0	0	1213	399	3	1	VU											
1925	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	36.86946	-85.14645			5192867	1	0	0	1213	399	3	1	VU											
1926	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	36.2582	-85.2078			5192867	1	0	0	1213	399	3	1	VU											
1927	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	37.902542	-87.499733			5192867	1	0	0	1213	399	3	1	VU											
1929	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	36.542303	-85.056039			5192867	1	0	0	1213	399	3	1	VU											
1930	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	35.966702	-85.712502			5192867	1	0	0	1213	399	3	1	VU											
1931	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	34.7859	-87.696602			5192867	1	0	0	1213	399	3	1	VU											
1932	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	36.618	-90.8392			5192867	1	0	0	1213	399	3	1	VU											
1933	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	36.988954	-84.545475			5192867	1	0	0	1213	399	3	1	VU											
1937	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	36.5903	-87.0881			5192867	1	0	0	1213	399	3	1	VU											
1939	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	36.3492	-85.6941			5192867	1	0	0	1213	399	3	1	VU											
1941	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare					5192867	1	0	0	1213	399	3	1	VU											
1942	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	36.116	-92.1428			5192867	1	0	0	1213	399	3	1	VU	39.3	-13.7	14.963287671232877	2.7704109589041095							
1957	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	37.902542	-87.499733			5192867	1	0	0	1213	399	3	1	VU	34.2	-12.7	14.22931506849315	3.7693150684931505							
1976	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare					5192867	1	0	0	1213	399	3	1	VU											
1977	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare					5192867	1	0	0	1213	399	3	1	VU											
1980	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare					5192867	1	0	0	1213	399	3	1	VU											
1983	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare					5192867	1	0	0	1213	399	3	1	VU											
1987	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare					5192867	1	0	0	1213	399	3	1	VU											
1988	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare					5192867	1	0	0	1213	399	3	1	VU											
1991	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	35.742766	-89.825325			5192867	1	0	0	1213	399	3	1	VU	35.2	-6.5	16.86191780821918	3.83013698630137							
1993	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare					5192867	1	0	0	1213	399	3	1	VU											
1994	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	34.7995	-87.3968			5192867	1	0	0	1213	399	3	1	VU	33.8	-13.6	16.263013698630136	4.2065753424657535							
1996	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	34.598333	-86.323333			5192867	1	0	0	1213	399	3	1	I	33.7	-15.8	15.454371584699453	4.212841530054645							
2001	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	35.04576	-87.2255			5192867	1	0	0	1213	399	3	1	I	33.5	-9.2	15.813150684931507	4.093150684931507							
2005	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	36.598333	-87.088333			5192867	1	0	0	1213	399	3	1	I	36.5	-10.1	15.404383561643836	2.870958904109589							
2010	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	36.10445	-91.09415			5192867	1	0	0	1213	399	3	1	I	39.4	-16.1	16.381095890410958	2.2926027397260276							
2011	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	34.9745	-87.0065			5192867	1	0	0	1213	399	3	1	I	38.9	-16.3	16.612328767123287	3.799178082191781							
2016	Gastropoda		Pleuroceridae	Pleurocera	Pleurocera alveare	35.1105	-85.5266			5192867	1	0	0	1213	399	3	1	I	37.0	-7.8	17.68224043715847	2.2972677595628417							
