1899	Bivalvia	Unionida	Margaritiferidae	Pseudunio	Pseudunio auricularius					5782527	2	0	0	1213	179	4	1	CR											
1900	Bivalvia	Unionida	Margaritiferidae	Pseudunio	Pseudunio auricularius	47.3246	1.0705			4559651	2	0	0	1213	179	4	1	CR											
1915	Bivalvia	Unionida	Margaritiferidae	Pseudunio	Pseudunio auricularius					4559651	2	0	0	1213	179	4	1	CR											
1916	Bivalvia	Unionida	Margaritiferidae	Pseudunio	Pseudunio auricularius	41.3161	-0.3492			5782525	2	0	0	1213	179	4	1	CR											
1931	Bivalvia	Unionida	Margaritiferidae	Pseudunio	Pseudunio auricularius	41.3167	-0.35			4559651	2	0	0	1213	179	4	1	CR											
1952	Bivalvia	Unionida	Margaritiferidae	Pseudunio	Pseudunio auricularius					4559651	2	0	0	1213	179	4	1	CR											
1991	Bivalvia	Unionida	Margaritiferidae	Pseudunio	Pseudunio auricularius					4559651	2	0	0	1213	179	4	1	CR											
1996	Bivalvia	Unionida	Margaritiferidae	Pseudunio	Pseudunio auricularius	42.083	3.1316			4559651	2	0	0	1213	179	4	1	CR	29.8	0.1	15.06256830601093	2.4724043715846995							
2002	Bivalvia	Unionida	Margaritiferidae	Pseudunio	Pseudunio auricularius	41.166667	1.0			4559651	2	0	0	1213	179	4	1	CR	31.7	-0.3	15.143561643835616	1.2945205479452055							
2007	Bivalvia	Unionida	Margaritiferidae	Pseudunio	Pseudunio auricularius	45.8347	-0.6508			5782525	2	0	0	1213	179	4	1	CR	34.2	-6.0	13.236438356164383	1.9136986301369863							
2010	Bivalvia	Unionida	Margaritiferidae	Pseudunio	Pseudunio auricularius	43.792623	1.278331	100.0		4559651	2	0	0	1213	179	4	1	CR	40.2	-6.7	13.04054794520548	1.8909589041095891							
2015	Bivalvia	Unionida	Margaritiferidae	Pseudunio	Pseudunio auricularius	34.052799	-4.9828			5782525	2	0	0	1213	179	4	1	CR	41.9	-0.4	19.234246575342464	0.8775342465753425							
2016	Bivalvia	Unionida	Margaritiferidae	Pseudunio	Pseudunio auricularius	43.69285	0.45333			4559651	2	0	0	1213	179	4	1	CR	36.1	-2.5	14.060928961748633	2.0773224043715848							
