1800	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis					4566708	4	0	0	1213	399	27	3	LC											
1830	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis	46.25309	7.00423			4566708	4	0	0	1213	399	27	3	LC											
1874	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis	43.0	10.4			4566708	4	0	0	1213	399	27	3	LC											
1879	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis	42.1339	3.1187			4566708	4	0	0	1213	399	27	3	LC											
1890	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis	46.17386	8.79185	346.0		4566708	4	0	0	1213	399	27	3	LC											
1900	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis	46.17386	8.79185	350.0		4566708	4	0	0	1213	399	27	3	LC											
1905	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis					4566708	4	0	0	1213	399	27	3	LC											
1913	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis					4566708	4	0	0	1213	399	27	3	LC											
1914	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis					4566708	4	0	0	1213	399	27	3	LC											
1916	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis	46.1827	8.80502			4566708	4	0	0	1213	399	27	3	LC											
1917	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis					4566708	4	0	0	1213	399	27	3	LC											
1923	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis					4566708	4	0	0	1213	399	27	3	LC											
1925	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis					4566708	4	0	0	1213	399	27	3	LC											
1928	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis					4566708	4	0	0	1213	399	27	3	LC											
1933	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis	39.145312	2.922594			4566708	4	0	0	1213	399	27	3	LC											
1934	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis					4566708	4	0	0	1213	399	27	3	LC											
1935	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis					4566708	4	0	0	1213	399	27	3	LC											
1937	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis	46.17386	8.79185	350.0		4566708	4	0	0	1213	399	27	3	LC											
1939	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis					4566708	4	0	0	1213	399	27	3	LC											
1941	Gastropoda	Stylommatophora	Chondrinidae	Solatopupa	Solatopupa similis					4566708	4	0	0	1213	399	27	3	LC											
