1866	Gastropoda	Stylommatophora	Trissexodontidae	Trissexodon	Trissexodon constrictus	43.2339	0.0753			4562944	2	0	0	1213	399	6	1	LC											
1940	Gastropoda	Stylommatophora	Trissexodontidae	Trissexodon	Trissexodon constrictus					4562944	2	0	0	1213	399	6	1	LC											
1947	Gastropoda	Stylommatophora	Trissexodontidae	Trissexodon	Trissexodon constrictus					4562944	2	0	0	1213	399	6	1	LC											
1967	Gastropoda	Stylommatophora	Trissexodontidae	Trissexodon	Trissexodon constrictus					4562944	2	0	0	1213	399	6	1	LC											
1980	Gastropoda	Stylommatophora	Trissexodontidae	Trissexodon	Trissexodon constrictus	43.29591	-1.58702			4562944	2	0	0	1213	399	6	1	LC	32.4	-1.7	12.661748633879782	3.880327868852459							
1982	Gastropoda	Stylommatophora	Trissexodontidae	Trissexodon	Trissexodon constrictus					4562944	2	0	0	1213	399	6	1	LC											
1983	Gastropoda	Stylommatophora	Trissexodontidae	Trissexodon	Trissexodon constrictus	43.26907	-1.5725	300.0		4562944	2	0	0	1213	399	6	1	LC	33.5	-5.7	13.103835616438356	2.8572602739726025							
1984	Gastropoda	Stylommatophora	Trissexodontidae	Trissexodon	Trissexodon constrictus	43.26894	-1.57216	190.0		4562944	2	0	0	1213	399	6	1	LC	32.8	-1.9	12.195628415300547	3.8997267759562844							
1985	Gastropoda	Stylommatophora	Trissexodontidae	Trissexodon	Trissexodon constrictus					4562944	2	0	0	1213	399	6	1	LC											
1987	Gastropoda	Stylommatophora	Trissexodontidae	Trissexodon	Trissexodon constrictus					4562944	2	0	0	1213	399	6	1	LC											
1988	Gastropoda	Stylommatophora	Trissexodontidae	Trissexodon	Trissexodon constrictus					4562944	2	0	0	1213	399	6	1	LC											
2005	Gastropoda	Stylommatophora	Trissexodontidae	Trissexodon	Trissexodon constrictus	43.08	-0.6			4562944	2	0	0	1213	399	6	1	LC	31.1	-7.8	10.585479452054795	3.671232876712329							
2016	Gastropoda	Stylommatophora	Trissexodontidae	Trissexodon	Trissexodon constrictus	43.27133	-1.57255	225.0		4562944	2	0	0	1213	399	6	1	LR/lc	35.2	-0.1	13.72103825136612	3.0901639344262297							
