1820	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.94659	7.4452			7849585	10	0	0	1213	399	36	7	LC											
1830	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.70277	7.90282			7849585	10	0	0	1213	399	36	7	LC											
1840	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.54912	7.59139			7849585	10	0	0	1213	399	36	7	LC											
1842	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.25309	7.00423			7849585	10	0	0	1213	399	36	7	LC											
1843	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.25239	7.51128	1280.0		7849585	10	0	0	1213	399	36	7	LC											
1844	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.84651	9.53002			7849585	10	0	0	1213	399	36	7	LC											
1846	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.98066	9.57469	570.0		7849585	10	0	0	1213	399	36	7	LC											
1849	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.57957	9.83293			7849585	10	0	0	1213	399	36	7	LC											
1850	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.44795	8.1745			7849585	10	0	0	1213	399	36	7	LC											
1857	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.75611	9.5527	1500.0		7849585	10	0	0	1213	399	36	7	LC											
1860	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.9911	9.4962			7849585	10	0	0	1213	399	36	7	LC											
1861	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.92671	9.57255	650.0		7849585	10	0	0	1213	399	36	7	LC											
1862	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.9234	9.74317			7849585	10	0	0	1213	399	36	7	LC											
1863	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.02036	9.36575	1600.0		7849585	10	0	0	1213	399	36	7	LC											
1864	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.98856	9.72492	1217.0		7849585	10	0	0	1213	399	36	7	LC											
1865	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.95295	9.61301	1064.0		7849585	10	0	0	1213	399	36	7	LC											
1867	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.93496	9.61229	1200.0		7849585	10	0	0	1213	399	36	7	LC											
1869	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.96194	9.61338			7849585	10	0	0	1213	399	36	7	LC											
1870	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.77679	10.26092	1400.0		7849585	10	0	0	1213	399	36	7	LC											
1872	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.47841	7.13264			7849585	10	0	0	1213	399	36	7	LC											
1873	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.92671	9.57255			7849585	10	0	0	1213	399	36	7	LC											
1874	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.93546	9.58603			7849585	10	0	0	1213	399	36	7	LC											
1875	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus					7849585	10	0	0	1213	399	36	7	LC											
1876	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.11382	9.14506			7849585	10	0	0	1213	399	36	7	LC											
1878	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.84614	6.85521			7849585	10	0	0	1213	399	36	7	LC											
1882	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.38248	6.23624			7849585	10	0	0	1213	399	36	7	LC											
1884	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.97093	9.61374	580.0		7849585	10	0	0	1213	399	36	7	LC											
1885	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.88564	9.85049	980.0		7849585	10	0	0	1213	399	36	7	LC											
1886	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.88564	9.85049	980.0		7849585	10	0	0	1213	399	36	7	LC											
1887	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.43369	7.6273			7849585	10	0	0	1213	399	36	7	LC											
1888	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus					7849585	10	0	0	1213	399	36	7	LC											
1890	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.54923	6.84538			7849585	10	0	0	1213	399	36	7	LC											
1891	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.77679	10.26092	1400.0		7849585	10	0	0	1213	399	36	7	LC											
1892	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus					7849585	10	0	0	1213	399	36	7	LC											
1894	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.83106	8.75593			7849585	10	0	0	1213	399	36	7	LC											
1896	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.0	8.0	1550.0		7849585	10	0	0	1213	399	36	7	LC											
1897	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus					7849585	10	0	0	1213	399	36	7	LC											
1898	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.57606	7.61805	250.0		7849585	10	0	0	1213	399	36	7	LC											
1900	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.93602	8.99493			7849585	10	0	0	1213	399	36	7	LC											
1902	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus					7849585	10	0	0	1213	399	36	7	LC											
1905	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.27037	7.52452			7849585	10	0	0	1213	399	36	7	LC											
1906	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.99223	6.92987	438.0		7849585	10	0	0	1213	399	36	7	LC											
1907	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.04988	8.47175			7849585	10	0	0	1213	399	36	7	LC											
1908	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.94528	10.36178			7849585	10	0	0	1213	399	36	7	LC											
1910	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.62103	8.89529			7849585	10	0	0	1213	399	36	7	LC											
1911	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.55902	7.58876	265.0		7849585	10	0	0	1213	399	36	7	LC											
1912	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus					7849585	10	0	0	1213	399	36	7	LC											
1913	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.52863	8.21546			7849585	10	0	0	1213	399	36	7	LC											
1915	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.09022	7.18181	430.0		7849585	10	0	0	1213	399	36	7	LC											
1916	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.69965	10.09989			7849585	10	0	0	1213	399	36	7	LC											
1917	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.8926	7.49768	650.0		7849585	10	0	0	1213	399	36	7	LC											
1918	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.66088	10.21564	1900.0		7849585	10	0	0	1213	399	36	7	LC											
1919	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.93759	7.4058	610.0		7849585	10	0	0	1213	399	36	7	LC											
1920	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.20098	6.09772			7849585	10	0	0	1213	399	36	7	LC											
1921	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.4951	7.63105			7849585	10	0	0	1213	399	36	7	LC											
1922	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.07213	7.1424	460.0		7849585	10	0	0	1213	399	36	7	LC											
1923	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.60992	6.50531			7849585	10	0	0	1213	399	36	7	LC											
1924	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.35254	7.15933			7849585	10	0	0	1213	399	36	7	LC											
1925	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.67469	9.57566			7849585	10	0	0	1213	399	36	7	LC											
1926	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.41525	9.22717	1140.0		7849585	10	0	0	1213	399	36	7	LC											
1928	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.75845	9.42186	630.0		7849585	10	0	0	1213	399	36	7	LC											
1929	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.81335	9.84332			7849585	10	0	0	1213	399	36	7	LC											
1930	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.3509	7.76288			7849585	10	0	0	1213	399	36	7	LC											
1931	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.58965	9.78116			7849585	10	0	0	1213	399	36	7	LC											
1932	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.68193	9.66747			7849585	10	0	0	1213	399	36	7	LC											
1933	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.58442	8.87301	451.0		7849585	10	0	0	1213	399	36	7	LC											
1934	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.53959	8.93291			7849585	10	0	0	1213	399	36	7	LC											
1935	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus					7849585	10	0	0	1213	399	36	7	LC											
1936	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.39924	8.62425			7849585	10	0	0	1213	399	36	7	LC											
1937	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.26075	7.82839			7849585	10	0	0	1213	399	36	7	LC											
1938	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.71905	8.21689			7849585	10	0	0	1213	399	36	7	LC											
1939	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus					7849585	10	0	0	1213	399	36	7	LC											
1940	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.07018	6.70794			7849585	10	0	0	1213	399	36	7	LC											
1941	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.39393	9.66865	1480.0		7849585	10	0	0	1213	399	36	7	LC	24.7	-24.3	2.228219178082192	2.407123287671233							
1942	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.35973	7.81588	1055.0		7849585	10	0	0	1213	399	36	7	LC	26.5	-23.3	6.05013698630137	3.103013698630137							
1943	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.57649	7.98002	2225.0		7849585	10	0	0	1213	399	36	7	LC	18.1	-24.2	-2.71013698630137	3.5643835616438357							
1944	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.68568	7.53667	2100.0		7849585	10	0	0	1213	399	36	7	LC	27.4	-23.2	0.394535519125683	5.393989071038251							
1945	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.15424	7.03091	450.0		7849585	10	0	0	1213	399	36	7	LC	29.7	-8.7	10.294520547945206	2.673972602739726							
1946	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.79205	8.04767	2325.0		7849585	10	0	0	1213	399	36	7	LC	21.5	-23.9	0.08794520547945203	3.3838356164383563							
1947	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.28	13.32	1025.0		7849585	10	0	0	1213	399	36	7	LC	29.7	-25.7	5.254794520547946	3.867945205479452							
1948	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.33376	8.84774			7849585	10	0	0	1213	399	36	7	LC	25.6	-12.6	7.766939890710383	3.887704918032787							
1949	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.56084	9.40157	1440.0		7849585	10	0	0	1213	399	36	7	LC	23.5	-24.7	2.658356164383562	2.9126027397260272							
1950	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.39	11.83			7849585	10	0	0	1213	399	36	7	LC	31.6	-17.8	7.946849315068493	3.6701369863013698							
1951	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.27954	9.46766	1150.0		7849585	10	0	0	1213	399	36	7	LC	25.0	-18.2	3.9945205479452053	4.07972602739726							
1952	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.82057	7.57623			7849585	10	0	0	1213	399	36	7	LC	31.3	-14.4	7.464754098360656	3.0243169398907104							
1953	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.69467	7.53669	2150.0		7849585	10	0	0	1213	399	36	7	LC	20.6	-23.3	0.3967123287671233	3.4427397260273973							
1954	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.82057	7.57623			7849585	10	0	0	1213	399	36	7	LC	24.9	-17.9	6.797534246575342	2.8772602739726025							
1955	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.64966	7.5758	950.0		7849585	10	0	0	1213	399	36	7	LC	29.1	-14.0	6.8282191780821915	3.3753424657534246							
1956	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	41.6	1.81667			7849585	10	0	0	1213	399	36	7	LC	28.7	-13.2	7.424043715846994	1.9918032786885247							
1957	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.88297	7.82566			7849585	10	0	0	1213	399	36	7	LC	26.7	-19.1	4.214794520547946	4.213698630136986							
1958	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.885	9.85965	1300.0		7849585	10	0	0	1213	399	36	7	LC	28.5	-18.9	4.699452054794521	4.82							
1959	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.73021	7.77224	2000.0		7849585	10	0	0	1213	399	36	7	LC	21.0	-19.8	1.7983561643835617	3.998904109589041							
1960	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.66648	8.85659			7849585	10	0	0	1213	399	36	7	LC	27.4	-18.7	8.045081967213115	2.7185792349726774							
1961	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.06	9.76			7849585	10	0	0	1213	399	36	7	LC	21.1	-27.0	-0.33616438356164385	3.1065753424657534							
1962	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	47.3478	8.34517			7849585	10	0	0	1213	399	36	7	LC	31.5	-17.1	8.42	2.5375342465753423							
1963	Gastropoda	Stylommatophora	Hygromiidae	Trochulus	Trochulus sericeus	46.6228	10.37046	1880.0		7849585	10	0	0	1213	399	36	7	LC	21.2	-28.2	-0.35150684931506854	3.8635616438356166							
