1800	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1852	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1915	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1931	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5725631	17	0	0	1213	88	1	2	LC											
1943	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1948	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus	7.526389	-12.505			5857736	17	0	0	1213	88	1	2	LC	30.0	22.6	25.71311475409836	7.641256830601093							
1950	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5725631	17	0	0	1213	88	1	2	LC											
1951	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus	7.55	-12.7			5857736	17	0	0	1213	88	1	2	LC	30.1	21.6	25.764657534246574	10.42027397260274							
1952	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus	8.49	-13.234167			5857736	17	0	0	1213	88	1	2	LC	29.4	21.8	25.92568306010929	11.409016393442624							
1954	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5725631	17	0	0	1213	88	1	2	LC											
1959	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1960	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus	6.0	1.04			5725631	17	0	0	1213	88	1	2	LC	32.9	21.9	26.621857923497267	2.0846994535519126							
1961	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus	5.83	0.56			5725631	17	0	0	1213	88	1	2	LC	30.3	21.8	26.375068493150685	2.1394520547945204							
1969	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus	6.24	1.42			5725631	17	0	0	1213	88	1	2	LC	32.0	22.2	26.332876712328765	3.535068493150685							
1972	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1973	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1974	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1976	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus	5.2667	-4.0			5725631	17	0	0	1213	88	1	2	LC	29.4	21.0	25.065573770491802	6.198907103825136							
1977	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1978	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1980	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus	16.4	-16.25			5725631	17	0	0	1213	88	1	2	LC	42.1	12.6	26.061475409836067	0.3284153005464481							
1981	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5725631	17	0	0	1213	88	1	2	LC											
1982	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1983	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1984	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1985	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1988	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5725631	17	0	0	1213	88	1	2	LC											
1989	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1990	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1992	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5857736	17	0	0	1213	88	1	2	LC											
1994	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5725631	17	0	0	1213	88	1	2	LC											
1997	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus	13.447	-16.576			5857736	17	0	0	1213	88	1	2	LC	36.5	16.8	26.324931506849314	1.6536986301369863							
1999	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus	6.583333	3.75			5857736	17	0	0	1213	88	1	2	LC	32.1	21.5	26.186301369863013	5.803561643835616							
2000	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus	13.805	-16.7574			5857736	17	0	0	1213	88	1	2	LC	36.9	17.4	25.79398907103825	1.594808743169399							
2004	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus	13.439	-15.806			5857736	17	0	0	1213	88	1	2	LC	40.1	16.0	27.297267759562843	1.3199453551912568							
2006	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5725631	17	0	0	1213	88	1	2	LC											
2007	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus	13.481	-16.662			5857736	17	0	0	1213	88	1	2	LC	37.8	17.6	25.926575342465753	1.2008219178082191							
2009	Gastropoda		Potamididae	Tympanotonos	Tympanotonos fuscatus					5725631	17	0	0	1213	88	1	2	LC											
