1874	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1912	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1913	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1918	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1919	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	47.61	13.26			4564459	12	0	0	1213	399	36	2	LC											
1922	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1923	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1927	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	51.0	13.0			4564459	12	0	0	1213	399	36	2	LC											
1928	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1932	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1933	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1936	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1937	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1938	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1939	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1950	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1951	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1954	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	47.86	15.03			4564459	12	0	0	1213	399	36	2	LC	27.7	-22.5	5.906027397260274	3.5284931506849313							
1955	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	47.8	13.06	416.0		4564459	12	0	0	1213	399	36	2	LC	28.0	-20.2	6.64054794520548	3.5893150684931507							
1956	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	47.8	13.05	516.0		4564459	12	0	0	1213	399	36	2	LC	29.6	-26.3	6.2642076502732245	3.7420765027322402							
1959	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1963	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	51.128	1.322			4564459	12	0	0	1213	399	36	2	LC	21.6	-7.6	8.711232876712328	1.4298630136986301							
1964	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	47.8	13.05	491.0		4564459	12	0	0	1213	399	36	2	LC	28.3	-21.3	7.323224043715847	3.766120218579235							
1965	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	47.631	13.003			4564459	12	0	0	1213	399	36	2	LC	33.1	-17.9	6.371506849315068	4.550410958904109							
1966	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	46.57	13.91			4564459	12	0	0	1213	399	36	2	LC	29.2	-17.7	8.353698630136986	4.132602739726027							
1968	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1970	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus					4564459	12	0	0	1213	399	36	2	LC											
1971	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	47.48	13.23	1232.0		4564459	12	0	0	1213	399	36	2	LC	26.8	-24.2	2.9852054794520546	3.882191780821918							
1972	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	47.68	13.21	1418.0		4564459	12	0	0	1213	399	36	2	LC	25.8	-21.2	0.7398907103825136	4.329508196721312							
1973	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	47.55	13.62			4564459	12	0	0	1213	399	36	2	LC	27.8	-21.5	4.957534246575342	5.17972602739726							
1974	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	47.84	13.3			4564459	12	0	0	1213	399	36	2	LC	30.0	-13.4	7.501917808219178	4.4021917808219175							
1976	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	47.64	13.79			4564459	12	0	0	1213	399	36	2	LC	29.0	-17.7	6.556830601092896	3.338524590163934							
1977	Gastropoda	Stylommatophora	Hygromiidae	Urticicola	Urticicola umbrosus	48.35	15.92			4564459	12	0	0	1213	399	36	2	LC	29.1	-14.6	9.287397260273973	1.4624657534246575							
