1942	Gastropoda	Cycloneritida	Neritidae	Vitta	Vitta glabrata					4369928	12	0	0	1213	30	21	7	LC											
1943	Gastropoda	Cycloneritida	Neritidae	Vitta	Vitta glabrata	6.148611	-10.383611			4369928	12	0	0	1213	30	21	7	LC	32.2	20.1	24.85698630136986	7.355890410958904							
1952	Gastropoda	Cycloneritida	Neritidae	Vitta	Vitta glabrata	8.49	-13.234167			4369928	12	0	0	1213	30	21	7	LC	29.4	21.8	25.92568306010929	11.409016393442624							
1954	Gastropoda	Cycloneritida	Neritidae	Vitta	Vitta glabrata					4369928	12	0	0	1213	30	21	7	LC											
1968	Gastropoda	Cycloneritida	Neritidae	Vitta	Vitta glabrata	6.1465	-10.3808			4369928	12	0	0	1213	30	21	7	LC	34.6	21.5	24.974043715846996	12.731420765027323							
1976	Gastropoda	Cycloneritida	Neritidae	Vitta	Vitta glabrata	5.2667	-4.0			4369928	12	0	0	1213	30	21	7	LC	29.4	21.0	25.065573770491802	6.198907103825136							
1978	Gastropoda	Cycloneritida	Neritidae	Vitta	Vitta glabrata					10144282	12	0	0	1213	30	21	7	LC											
1987	Gastropoda	Cycloneritida	Neritidae	Vitta	Vitta glabrata	0.2139	9.4918			4369928	12	0	0	1213	30	21	7	LC	30.4	22.3	25.793424657534246	6.575342465753424							
1990	Gastropoda	Cycloneritida	Neritidae	Vitta	Vitta glabrata					4369928	12	0	0	1213	30	21	7	LC											
1995	Gastropoda	Cycloneritida	Neritidae	Vitta	Vitta glabrata					4369928	12	0	0	1213	30	21	7	LC											
2006	Gastropoda	Cycloneritida	Neritidae	Vitta	Vitta glabrata	-6.1333	12.3666			10144282	12	0	0	1213	30	21	7	LC	31.0	17.3	24.903835616438357	1.8564383561643836							
2009	Gastropoda	Cycloneritida	Neritidae	Vitta	Vitta glabrata	2.93842	9.9072			10144282	12	0	0	1213	30	21	7	LC	31.3	22.4	25.806849315068494	6.99972602739726							
