1874	Gastropoda	Stylommatophora	Geomitridae	Xerocrassa	Xerocrassa cretica					4565352	4	0	0	1213	399	26	5	LC											
1926	Gastropoda	Stylommatophora	Geomitridae	Xerocrassa	Xerocrassa cretica					4565352	4	0	0	1213	399	26	5	LC											
1955	Gastropoda	Stylommatophora	Geomitridae	Xerocrassa	Xerocrassa cretica					4565352	4	0	0	1213	399	26	5	LC											
1956	Gastropoda	Stylommatophora	Geomitridae	Xerocrassa	Xerocrassa cretica					4565352	4	0	0	1213	399	26	5	LC											
1960	Gastropoda	Stylommatophora	Geomitridae	Xerocrassa	Xerocrassa cretica					4565352	4	0	0	1213	399	26	5	LC											
1964	Gastropoda	Stylommatophora	Geomitridae	Xerocrassa	Xerocrassa cretica					4565352	4	0	0	1213	399	26	5	LC											
1986	Gastropoda	Stylommatophora	Geomitridae	Xerocrassa	Xerocrassa cretica					4565352	4	0	0	1213	399	26	5	LC											
1989	Gastropoda	Stylommatophora	Geomitridae	Xerocrassa	Xerocrassa cretica					4565352	4	0	0	1213	399	26	5	LC											
1990	Gastropoda	Stylommatophora	Geomitridae	Xerocrassa	Xerocrassa cretica					4565352	4	0	0	1213	399	26	5	LC											
2004	Gastropoda	Stylommatophora	Geomitridae	Xerocrassa	Xerocrassa cretica	35.209999	24.99			4565352	4	0	0	1213	399	26	5	LC	35.8	-2.4	16.292349726775956	1.2866120218579236							
2005	Gastropoda	Stylommatophora	Geomitridae	Xerocrassa	Xerocrassa cretica	35.23	26.25			4565352	4	0	0	1213	399	26	5	LC	30.2	6.9	18.82904109589041	0.4298630136986301							
2011	Gastropoda	Stylommatophora	Geomitridae	Xerocrassa	Xerocrassa cretica	36.1	28.0861			4565352	4	0	0	1213	399	26	5	LC	32.9	5.5	19.342191780821917	1.9980821917808218							
2017	Gastropoda	Stylommatophora	Geomitridae	Xerocrassa	Xerocrassa cretica					4565352	4	0	0	1213	399	26	5	LC											
